qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	qcovhsp	stitle	accession
ABUW_4004	gb|AEOY01000095.1|	100.0	1266	0	0	1	1266	2765	4030	0.0	2338	1266	63320	100	100	Acinetobacter baumannii 3990 plasmid p1ABST2, whole genome shotgun sequence	AEOY01000095.1
ABUW_4004	gb|AFDB02000004.1|	100.0	1266	0	0	1	1266	47639	48904	0.0	2338	1266	67012	100	100	Acinetobacter baumannii Naval-81 plasmid pNaval81-67, complete sequence, whole genome shotgun sequence	AFDB02000004.1
ABUW_4004	gb|AFDL01000006.1|	100.0	1266	0	0	1	1266	25798	24533	0.0	2338	1266	69518	100	100	Acinetobacter baumannii OIFC143 plasmid pOIFC143-70, whole genome shotgun sequence	AFDL01000006.1
ABUW_4004	gb|ALII01000020.1|	100.0	1266	0	0	1	1266	9271	8006	0.0	2338	1266	67025	100	100	Acinetobacter baumannii IS-123 plasmid pIS123-67, complete sequence, whole genome shotgun sequence	ALII01000020.1
ABUW_4004	dbj|AP023078.1|	99.842	1266	2	0	1	1266	63621	64886	0.0	2327	1266	73028	100	100	Acinetobacter baumannii OCU_Ac16a plasmid pOCU_Ac16a_1 DNA, complete sequence	AP023078.1
ABUW_4004	gb|AYOH01000010.2|	100.0	1266	0	0	1	1266	67316	68581	0.0	2338	1266	74089	100	100	Acinetobacter baumannii UH9907 plasmid pABUH1-74, whole genome shotgun sequence	AYOH01000010.2
ABUW_4004	gb|CM009084.2|	100.0	1266	0	0	1	1266	43101	44366	0.0	2338	1266	62339	100	100	Acinetobacter baumannii strain ZQ9 plasmid p2ZQ9, complete sequence, whole genome shotgun sequence	CM009084.2
ABUW_4004	gb|CM009650.1|	100.0	1266	0	0	1	1266	24237	22972	0.0	2338	1266	68115	100	100	Acinetobacter baumannii strain ZQ3 plasmid p4ZQ3, complete sequence, whole genome shotgun sequence	CM009650.1
ABUW_4004	gb|CP000865.1|	100.0	1266	0	0	1	1266	2766	4031	0.0	2338	1266	64366	100	100	Acinetobacter baumannii ACICU plasmid pACICU2, complete sequence	CP000865.1
ABUW_4004	gb|CP001922.1|	99.921	1266	1	0	1	1266	53043	54308	0.0	2333	1266	74451	100	100	Acinetobacter baumannii 1656-2 plasmid ABKp1, complete sequence	CP001922.1
ABUW_4004	gb|CP002524.1|	99.921	1266	1	0	1	1266	32880	34145	0.0	2333	1266	70894	100	100	Acinetobacter baumannii TCDC-AB0715 plasmid p2ABTCDC0715, complete sequence	CP002524.1
ABUW_4004	gb|CP007580.1|	99.921	1266	1	0	1	1266	47251	48516	0.0	2333	1266	71433	100	100	Acinetobacter baumannii AC30 plasmid pAC30c, complete sequence	CP007580.1
ABUW_4004	gb|CP008707.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	83610	100	100	Acinetobacter baumannii strain AB5075-UW plasmid p1AB5075, complete sequence	CP008707.1
ABUW_4004	gb|CP008851.1|	99.921	1266	1	0	1	1266	24297	23032	0.0	2333	1266	74749	100	100	Acinetobacter baumannii strain AC29 plasmid pAC29b, complete sequence	CP008851.1
ABUW_4004	gb|CP012008.1|	99.921	1266	1	0	1	1266	4929	3664	0.0	2333	1266	87569	100	100	Acinetobacter baumannii Ab04-mff plasmid pAB04-2, complete sequence	CP012008.1
ABUW_4004	gb|CP014216.1|	99.921	1266	1	0	1	1266	58290	59555	0.0	2333	1266	74241	100	100	Acinetobacter baumannii strain YU-R612 plasmid unnamed1, complete sequence	CP014216.1
ABUW_4004	gb|CP014292.1|	100.0	1266	0	0	1	1266	75976	74711	0.0	2338	1266	84967	100	100	Acinetobacter baumannii strain AB34299 plasmid unnamed1, complete sequence	CP014292.1
ABUW_4004	gb|CP015366.1|	100.0	1266	0	0	1	1266	47992	46727	0.0	2338	1266	80546	100	100	Acinetobacter baumannii strain 3207 plasmid pAba3207b, complete sequence	CP015366.1
ABUW_4004	gb|CP016297.1|	100.0	1266	0	0	1	1266	43289	44554	0.0	2338	1266	74090	100	100	Acinetobacter baumannii strain CMC-CR-MDR-Ab4 plasmid pCMCVTAb2-Ab4, complete sequence	CP016297.1
ABUW_4004	gb|CP016302.1|	100.0	1266	0	0	1	1266	42394	43659	0.0	2338	1266	73188	100	100	Acinetobacter baumannii strain CMC-CR-MDR-Ab66 plasmid pCMCVTAb2-Ab66, complete sequence	CP016302.1
ABUW_4004	gb|CP017645.1|	99.921	1266	1	0	1	1266	68232	66967	0.0	2333	1266	81227	100	100	Acinetobacter baumannii strain KAB02 plasmid, partial sequence	CP017645.1
ABUW_4004	gb|CP017647.1|	99.526	1266	6	0	1	1266	21915	20650	0.0	2305	1266	73891	100	100	Acinetobacter baumannii strain KAB03 plasmid, complete sequence	CP017647.1
ABUW_4004	gb|CP017649.1|	99.921	1266	1	0	1	1266	38517	39782	0.0	2333	1266	121485	100	100	Acinetobacter baumannii strain KAB04 plasmid, complete sequence	CP017649.1
ABUW_4004	gb|CP017651.1|	99.921	1266	1	0	1	1266	49389	50654	0.0	2333	1266	70884	100	100	Acinetobacter baumannii strain KAB05 plasmid, complete sequence	CP017651.1
ABUW_4004	gb|CP017653.1|	99.91	1111	1	0	1	1111	69774	70884	0.0	2047	1266	70884	100	88	Acinetobacter baumannii strain KAB06 plasmid, complete sequence	CP017653.1
ABUW_4004	gb|CP017655.1|	99.921	1266	1	0	1	1266	30596	31861	0.0	2333	1266	72073	100	100	Acinetobacter baumannii strain KAB07 plasmid pKAB07, complete genome	CP017655.1
ABUW_4004	gb|CP017657.1|	99.921	1266	1	0	1	1266	36920	38185	0.0	2333	1266	101406	100	100	Acinetobacter baumannii strain KAB08 plasmid, complete sequence	CP017657.1
ABUW_4004	gb|CP019115.1|	99.921	1266	1	0	1	1266	48173	49438	0.0	2333	1266	75390	100	100	Acinetobacter baumannii strain MDR-CQ plasmid pMDR-CQ, complete sequence	CP019115.1
ABUW_4004	gb|CP020573.1|	99.921	1266	1	0	1	1266	55894	54629	0.0	2333	1266	74241	100	100	Acinetobacter baumannii strain 15A5 plasmid p15A5_1, complete sequence	CP020573.1
ABUW_4004	gb|CP020577.1|	99.921	1266	1	0	1	1266	54110	52845	0.0	2333	1266	73264	100	100	Acinetobacter baumannii strain SSA12 plasmid pSSA12_1, complete sequence	CP020577.1
ABUW_4004	gb|CP020580.1|	99.921	1266	1	0	1	1266	75311	74046	0.0	2333	1266	90973	100	100	Acinetobacter baumannii strain SSMA17 plasmid pSSMA17_1, complete sequence	CP020580.1
ABUW_4004	gb|CP020582.1|	99.921	1266	1	0	1	1266	36161	34896	0.0	2333	1266	90972	100	100	Acinetobacter baumannii strain JBA13 plasmid pJBA13_1, complete sequence	CP020582.1
ABUW_4004	gb|CP020589.1|	99.921	1266	1	0	1	1266	24062	25327	0.0	2333	1266	72076	100	100	Acinetobacter baumannii strain 15A34 plasmid p15A34_1, complete sequence	CP020589.1
ABUW_4004	gb|CP020593.1|	99.921	1266	1	0	1	1266	70235	71500	0.0	2333	1266	74241	100	100	Acinetobacter baumannii strain USA2 plasmid pUSA2_1, complete sequence	CP020593.1
ABUW_4004	gb|CP020594.1|	100.0	1266	0	0	1	1266	30874	32139	0.0	2338	1266	98301	100	100	Acinetobacter baumannii strain USA15 plasmid pUSA15_1, complete sequence	CP020594.1
ABUW_4004	gb|CP021322.1|	99.921	1266	1	0	1	1266	38848	40113	0.0	2333	1266	64557	100	100	Acinetobacter baumannii strain XH731 plasmid pXH731, complete sequence	CP021322.1
ABUW_4004	gb|CP021787.1|	99.921	1266	1	0	1	1266	2572	3837	0.0	2333	1266	86334	100	100	Acinetobacter baumannii strain A85 plasmid pA85-3, complete sequence	CP021787.1
ABUW_4004	gb|CP023028.1|	100.0	1266	0	0	1	1266	11013	12278	0.0	2338	1266	110728	100	100	Acinetobacter baumannii strain 10042 plasmid pAba10042b, complete sequence	CP023028.1
ABUW_4004	gb|CP023030.1|	100.0	1266	0	0	1	1266	14497	15762	0.0	2338	1266	95206	100	100	Acinetobacter baumannii strain 9102 plasmid pAba9102a, complete sequence	CP023030.1
ABUW_4004	gb|CP023033.1|	100.0	1266	0	0	1	1266	47992	46727	0.0	2338	1266	80546	100	100	Acinetobacter baumannii strain 7847 plasmid pAba7847b, complete sequence	CP023033.1
ABUW_4004	gb|CP024578.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	79335	100	100	Acinetobacter baumannii strain AbPK1 plasmid pAbPK1b, complete sequence	CP024578.1
ABUW_4004	gb|CP025267.1|	99.921	1266	1	0	1	1266	17992	19257	0.0	2333	1266	74241	100	100	Acinetobacter baumannii isolate SMC_Paed_Ab_BL01 plasmid pSMC_AB_BL01_1, complete sequence	CP025267.1
ABUW_4004	gb|CP026706.1|	100.0	1266	0	0	1	1266	57265	56000	0.0	2338	1266	72105	100	100	Acinetobacter baumannii strain AR_0056 plasmid tig00000059_pilon, complete sequence	CP026706.1
ABUW_4004	gb|CP026712.1|	100.0	1266	0	0	1	1266	28119	26854	0.0	2338	1266	72990	100	100	Acinetobacter baumannii strain AR_0063 plasmid unitig_2_pilon, complete sequence	CP026712.1
ABUW_4004	gb|CP026946.1|	100.0	1266	0	0	1	1266	24411	25676	0.0	2338	1266	72204	100	100	Acinetobacter baumannii strain S1 plasmid pAbS1_03	CP026946.1
ABUW_4004	gb|CP027243.1|	99.526	1266	6	0	1	1266	2572	3837	0.0	2305	1266	70796	100	100	Acinetobacter baumannii strain WCHAB005078 plasmid p1_005078, complete sequence	CP027243.1
ABUW_4004	gb|CP029571.1|	100.0	1266	0	0	1	1266	3005	4270	0.0	2338	1266	71234	100	100	Acinetobacter baumannii strain DA33098 plasmid pDA33098-71, complete sequence	CP029571.1
ABUW_4004	gb|CP030109.1|	100.0	1266	0	0	1	1266	46532	47797	0.0	2338	1266	84678	100	100	Acinetobacter baumannii strain DA33382 plasmid pDA33382-85, complete sequence	CP030109.1
ABUW_4004	gb|CP031382.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	70101	100	100	Acinetobacter baumannii ACICU plasmid pACICU2, complete sequence	CP031382.1
ABUW_4004	gb|CP033245.1|	100.0	1266	0	0	1	1266	47993	46728	0.0	2338	1266	80548	100	100	Acinetobacter baumannii strain 7835 plasmid pAba7835b, complete sequence	CP033245.1
ABUW_4004	gb|CP035047.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	74091	100	100	Acinetobacter baumannii strain ABUH793 plasmid p74.1Kbp, complete sequence	CP035047.1
ABUW_4004	gb|CP036286.1|	99.921	1266	1	0	1	1266	2572	3837	0.0	2333	1266	71234	100	100	Acinetobacter baumannii strain TG60155 plasmid p60155_3, complete sequence	CP036286.1
ABUW_4004	gb|CP038264.1|	99.842	1266	2	0	1	1266	62951	64216	0.0	2327	1266	76956	100	100	Acinetobacter baumannii strain EC plasmid pEC_gr6, complete sequence	CP038264.1
ABUW_4004	gb|CP039994.1|	99.921	1266	1	0	1	1266	2572	3837	0.0	2333	1266	71233	100	100	Acinetobacter baumannii strain TG22182 plasmid pTG22182_1, complete sequence	CP039994.1
ABUW_4004	gb|CP040043.1|	99.921	1266	1	0	1	1266	3351	4616	0.0	2333	1266	82500	100	100	Acinetobacter baumannii strain VB958 plasmid unnamed3, complete sequence	CP040043.1
ABUW_4004	gb|CP042842.1|	100.0	1266	0	0	1	1266	27896	29161	0.0	2338	1266	67023	100	100	Acinetobacter baumannii strain ATCC BAA-1790 plasmid unnamed, complete sequence	CP042842.1
ABUW_4004	gb|CP048134.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	74916	100	100	Acinetobacter baumannii strain D46 plasmid pD46-3, complete sequence	CP048134.1
ABUW_4004	gb|CP050392.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	70712	100	100	Acinetobacter baumannii strain VB11737 plasmid pVB11737_1, complete sequence	CP050392.1
ABUW_4004	gb|CP050404.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	99090	100	100	Acinetobacter baumannii strain VB2486 plasmid pVB2486_1, complete sequence	CP050404.1
ABUW_4004	gb|CP050413.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	70098	100	100	Acinetobacter baumannii strain PM192696 plasmid pPM192696_1, complete sequence	CP050413.1
ABUW_4004	gb|CP050909.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	71194	100	100	Acinetobacter baumannii strain DT-Ab022 plasmid unnamed2, complete sequence	CP050909.1
ABUW_4004	gb|CP050912.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	71194	100	100	Acinetobacter baumannii strain DT-Ab020 plasmid unnamed1, complete sequence	CP050912.1
ABUW_4004	gb|CP050915.1|	99.921	1266	1	0	1	1266	2572	3837	0.0	2333	1266	92021	100	100	Acinetobacter baumannii strain DT-Ab007 plasmid unnamed1, complete sequence	CP050915.1
ABUW_4004	gb|CP050917.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	71194	100	100	Acinetobacter baumannii strain DT-Ab003 plasmid unnamed1, complete sequence	CP050917.1
ABUW_4004	gb|CP061516.1|	100.0	1266	0	0	1	1266	17716	18981	0.0	2338	1266	83626	100	100	Acinetobacter baumannii strain CFSAN093710 plasmid pCFSAN093710_2, complete sequence	CP061516.1
ABUW_4004	gb|CP062921.1|	99.842	1266	2	0	1	1266	2572	3837	0.0	2327	1266	72831	100	100	Acinetobacter baumannii strain Res13-Abat-PEA21-P4-01-A plasmid unnamed1836, complete sequence	CP062921.1
ABUW_4004	gb|CP066230.1|	99.921	1266	1	0	1	1266	68428	69693	0.0	2333	1266	73339	100	100	Acinetobacter baumannii strain G20AB011 plasmid pG20AB011-1, complete sequence	CP066230.1
ABUW_4004	gb|CP066233.1|	99.921	1266	1	0	1	1266	52731	53996	0.0	2333	1266	73360	100	100	Acinetobacter baumannii strain G20AB010 plasmid pG20AB010-1, complete sequence	CP066233.1
ABUW_4004	gb|CP066236.1|	99.921	1266	1	0	1	1266	50759	49494	0.0	2333	1266	73361	100	100	Acinetobacter baumannii strain G20AB009 plasmid pG20AB009-1, complete sequence	CP066236.1
ABUW_4004	gb|CP066238.1|	99.921	1266	1	0	1	1266	23360	24625	0.0	2333	1266	73361	100	100	Acinetobacter baumannii strain G20AB007 plasmid pG20AB007-1, complete sequence	CP066238.1
ABUW_4004	gb|CP069841.1|	100.0	1266	0	0	1	1266	23173	21908	0.0	2338	1266	76933	100	100	Acinetobacter baumannii strain FDAARGOS_1360 plasmid unnamed1, complete sequence	CP069841.1
ABUW_4004	gb|CP072124.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	87529	100	100	Acinetobacter baumannii strain KSK1 plasmid p2KSK1, complete sequence	CP072124.1
ABUW_4004	gb|CP072272.1|	100.0	1266	0	0	1	1266	44301	45566	0.0	2338	1266	68224	100	100	Acinetobacter baumannii strain KSK6 plasmid p2KSK6, complete sequence	CP072272.1
ABUW_4004	gb|CP072277.1|	100.0	1266	0	0	1	1266	44301	45566	0.0	2338	1266	68225	100	100	Acinetobacter baumannii strain KSK7 plasmid p2KSK7, complete sequence	CP072277.1
ABUW_4004	gb|CP072282.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	87529	100	100	Acinetobacter baumannii strain KSK10 plasmid p2KSK10, complete sequence	CP072282.1
ABUW_4004	gb|CP072287.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	87529	100	100	Acinetobacter baumannii strain KSK11 plasmid p2KSK11, complete sequence	CP072287.1
ABUW_4004	gb|CP072292.1|	100.0	1266	0	0	1	1266	44301	45566	0.0	2338	1266	68225	100	100	Acinetobacter baumannii strain KSK18 plasmid p2KSK18, complete sequence	CP072292.1
ABUW_4004	gb|CP072297.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	87529	100	100	Acinetobacter baumannii strain KSK19 plasmid p2KSK19, complete sequence	CP072297.1
ABUW_4004	gb|CP072302.1|	100.0	1266	0	0	1	1266	24146	22881	0.0	2338	1266	68309	100	100	Acinetobacter baumannii strain KSK20 plasmid p2KSK20, complete sequence	CP072302.1
ABUW_4004	gb|CP072400.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	87529	100	100	Acinetobacter baumannii strain KSK2 plasmid p2KSK2, complete sequence	CP072400.1
ABUW_4004	gb|CP076802.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	88371	100	100	Acinetobacter baumannii strain UC25604 plasmid p1UC25604, complete sequence	CP076802.1
ABUW_4004	gb|CP076805.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	105056	100	100	Acinetobacter baumannii strain UC24371 plasmid p1UC24371, complete sequence	CP076805.1
ABUW_4004	gb|CP076818.1|	100.0	1266	0	0	1	1266	2572	3837	0.0	2338	1266	99399	100	100	Acinetobacter baumannii strain UC24137 plasmid p1UC24137, complete sequence	CP076818.1
ABUW_4004	gb|CP077833.1|	99.921	1266	1	0	1	1266	2572	3837	0.0	2333	1266	84262	100	100	Acinetobacter baumannii strain DETAB-P43 plasmid pDETAB7d, complete sequence	CP077833.1
ABUW_4004	gb|CP077836.1|	99.921	1266	1	0	1	1266	2572	3837	0.0	2333	1266	73444	100	100	Acinetobacter baumannii strain DETAB-P65 plasmid pDETAB7b, complete sequence	CP077836.1
ABUW_4004	gb|CP077838.1|	99.921	1266	1	0	1	1266	2572	3837	0.0	2333	1266	72258	100	100	Acinetobacter baumannii strain DETAB-E159 plasmid pDETAB7a, complete sequence	CP077838.1
ABUW_4004	gb|CP077841.1|	99.526	1266	6	0	1	1266	2572	3837	0.0	2305	1266	70789	100	100	Acinetobacter baumannii strain DETAB-P90 plasmid pDETAB16, complete sequence	CP077841.1
ABUW_4004	gb|CP077847.1|	99.842	1266	2	0	1	1266	2572	3837	0.0	2327	1266	70426	100	100	Acinetobacter baumannii strain DETAB-P24 plasmid pDETAB8, complete sequence	CP077847.1
ABUW_4004	gb|CP082219.1|	99.921	1266	1	0	1	1266	60665	61930	0.0	2333	1266	78023	100	100	Acinetobacter baumannii strain 2018BJAB2 plasmid p2018BJAB2, complete sequence	CP082219.1
ABUW_4004	gb|CP082220.1|	99.921	1266	1	0	1	1266	61537	62802	0.0	2333	1266	78024	100	100	Acinetobacter baumannii strain 2018BJAB1 plasmid p2018BJAB1, complete sequence	CP082220.1
ABUW_4004	gb|CP082221.1|	99.921	1266	1	0	1	1266	61536	62801	0.0	2333	1266	78022	100	100	Acinetobacter baumannii strain 2018TJAB1 plasmid p2018TJAB1, complete sequence	CP082221.1
ABUW_4004	gb|CP082226.1|	99.606	1268	1	3	1	1266	61497	62762	0.0	2311	1266	77943	100	100	Acinetobacter baumannii strain 2016BJAB1 plasmid p2016BJAB1, complete sequence	CP082226.1
ABUW_4004	gb|CP082228.1|	99.921	1266	1	0	1	1266	61601	62866	0.0	2333	1266	78030	100	100	Acinetobacter baumannii strain 2018HLJAB2 plasmid p2018HLJAB2, complete sequence	CP082228.1
ABUW_4004	gb|CP082895.1|	99.921	1266	1	0	1	1266	61525	62790	0.0	2333	1266	78023	100	100	Acinetobacter baumannii strain 2018HBAB1 plasmid p2018HBAB1-2, complete sequence	CP082895.1
ABUW_4004	gb|CP084723.1|	99.921	1266	1	0	1	1266	2572	3837	0.0	2333	1266	69524	100	100	Acinetobacter baumannii strain HKU7 plasmid pHKU7b, complete sequence	CP084723.1
ABUW_4004	gb|CP084726.1|	99.921	1266	1	0	1	1266	2572	3837	0.0	2333	1266	69524	100	100	Acinetobacter baumannii strain HKU6 plasmid pHKU6b, complete sequence	CP084726.1
ABUW_4004	gb|CP084729.1|	99.921	1266	1	0	1	1266	2572	3837	0.0	2333	1266	69524	100	100	Acinetobacter baumannii strain HKU5 plasmid pHKU5b, complete sequence	CP084729.1
ABUW_4004	gb|CP084732.1|	99.921	1266	1	0	1	1266	2572	3837	0.0	2333	1266	69524	100	100	Acinetobacter baumannii strain HKU4 plasmid pHKU4b, complete sequence	CP084732.1
ABUW_4004	gb|CP084735.1|	99.921	1266	1	0	1	1266	2572	3837	0.0	2333	1266	69524	100	100	Acinetobacter baumannii strain HKU3 plasmid pHKU3b, complete sequence	CP084735.1
ABUW_4004	gb|CP091595.1|	100.0	1266	0	0	1	1266	18877	17612	0.0	2338	1266	73145	100	100	Acinetobacter baumannii strain Nord4-2 plasmid pR32_2, complete sequence	CP091595.1
ABUW_4004	gb|CP094285.1|	100.0	1266	0	0	1	1266	59598	60863	0.0	2338	1266	71194	100	100	Acinetobacter baumannii strain NY5301 plasmid pNY5301-2, complete sequence	CP094285.1
ABUW_4004	gb|CP096689.1|	99.921	1266	1	0	1	1266	61536	62801	0.0	2333	1266	73209	100	100	Acinetobacter baumannii strain 5840 plasmid p5840, complete sequence	CP096689.1
ABUW_4004	gb|CP096691.1|	99.921	1266	1	0	1	1266	59683	60948	0.0	2333	1266	71277	100	100	Acinetobacter baumannii strain 5839 plasmid p5839, complete sequence	CP096691.1
ABUW_4004	gb|CP096706.1|	99.921	1266	1	0	1	1266	12566	11301	0.0	2333	1266	71277	100	100	Acinetobacter baumannii strain 5761 plasmid p5761, complete sequence	CP096706.1
ABUW_4004	gb|CP096719.1|	99.526	1266	6	0	1	1266	59634	60899	0.0	2305	1266	70793	100	100	Acinetobacter baumannii strain 5741 plasmid p5741_2, complete sequence	CP096719.1
ABUW_4004	gb|CP096739.1|	99.921	1266	1	0	1	1266	61503	62768	0.0	2333	1266	73209	100	100	Acinetobacter baumannii strain 5679 plasmid p5679, complete sequence	CP096739.1
