original_row_index,Plasmid accession,Plasmid name,strain name,Gene,tblastn_pident,blastn_pident,delta_pident,tblastn_qcovs,blastn_qcovs,delta_qcovs,abs_delta_pident,abs_delta_qcovs
331,CP032742.1,pC25,C25,ABUW_4094,57.391,98.521,41.13,100,100,0,41.13,0
828,CP099791.1,p1NCCP15996*,NCCP 15996,ABUW_4094,82.558,99.703,17.145,100,100,0,17.145,0
589,CP082226.1,p2016BJAB1,2016BJAB1,ABUW_4007,92,98.219,6.219,100,100,0,6.219,0
758,CP096763.1,p5651,5651,ABUW_4005,95.283,99.238,3.955,100,100,0,3.955,0
1,MK531538.1,pMC23.1,MC23,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
15,AP023078.1,pOCU_Ac16a_1,OCU_Ac16a,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
81,CP007580.1,pAC30c,AC30,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
100,CP001922.1,ABKp1,1656-2,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
104,CP002524.1,p2ABTCDC0715,TCDC-AB0715,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
116,CP008851.1,pAC29b,AC29,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
147,CP012008.1,pAB04-2,Ab04-mff,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
196,CP017645.1,pKAB02,KAB02,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
198,CP017649.1,pKAB04,KAB04,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
199,CP017651.1,pKAB05,KAB05,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
200,CP017653.1,pKAB06,KAB06,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
201,CP017655.1,pKAB07,KAB07,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
202,CP017657.1,pKAB08,KAB08,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
213,CP019115.1,pMDR-CQ,MDR-CQ,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
218,CP020589.1,p15A34_1,15A34,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
221,CP020582.1,pJBA13_1,JBA13,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
222,CP020580.1,pSSMA17_1,SSMA17,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
224,CP020577.1,pSSA12_1,SSA12,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
231,CP021787.1,pA85-3,A85,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
232,CP021322.1,pXH731,XH731,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
267,CP024578.1,pAbPK1b,AbPK1,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
343,CP039994.1,pTG22182_1,TG22182,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
349,CP036286.1,p60155_3,TG60155,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
357,CP038264.1,pEC_gr6,LEV1449/17Ec,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
380,CP040043.1,p3VB958,VB958,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
485,MG954379.1,pS32-2,SGH0905,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
487,MG954377.1,pS21-2,SGH9601,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
503,CP050917.1,p2DT-Ab003,DT-Ab003,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
505,CP050915.1,pDT-Ab007,DT-Ab007,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
506,CP050912.1,p2DT-Ab020,DT-Ab020,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
509,CP050909.1,p2DT-Ab022,DT-Ab022,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
632,CP062921.1,p3Res13-Abat,Res13-Abat-PEA21-P4-01-A,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
639,CP069841.1,p2FDAARGOS_1360,FDAARGOS_1360,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
644,CP066238.1,pG20AB007-1,G20AB007,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
647,CP066236.1,pG20AB009-1,G20AB009,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
648,CP066233.1,pG20AB010-1,G20AB010,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
650,CP066230.1,pG20AB011-1,G20AB011,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
699,CP076818.1,p1UC24137,UC24137,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
709,CP076805.1,p1UC24371,UC24371,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
711,CP076802.1,p1UC25604,UC25604,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
717,CP077838.1,pDETAB7a,DETAB-E159,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
722,CP077847.1,pDETAB8,DETAB-P24,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
724,CP077833.1,pDETAB7d,DETAB-P43,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
726,CP077836.1,pDETAB7b,DETAB-P65,ABUW_4006,98.413,99.213,0.8,100,100,0,0.8,0
