qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	qcovhsp	stitle	accession
AKA33575.1	gb|AEOY01000095.1|	100.0	421	0	0	1	421	2765	4027	0.0	874.0	421	63320	100	100	Acinetobacter baumannii 3990 plasmid p1ABST2, whole genome shotgun sequence	AEOY01000095.1
AKA33575.1	gb|AFDB02000004.1|	100.0	421	0	0	1	421	47639	48901	0.0	874.0	421	67012	100	100	Acinetobacter baumannii Naval-81 plasmid pNaval81-67, complete sequence, whole genome shotgun sequence	AFDB02000004.1
AKA33575.1	gb|AFDL01000006.1|	100.0	421	0	0	1	421	25798	24536	0.0	874.0	421	69518	100	100	Acinetobacter baumannii OIFC143 plasmid pOIFC143-70, whole genome shotgun sequence	AFDL01000006.1
AKA33575.1	gb|ALII01000020.1|	100.0	421	0	0	1	421	9271	8009	0.0	874.0	421	67025	100	100	Acinetobacter baumannii IS-123 plasmid pIS123-67, complete sequence, whole genome shotgun sequence	ALII01000020.1
AKA33575.1	dbj|AP023078.1|	100.0	421	0	0	1	421	63621	64883	0.0	874.0	421	73028	100	100	Acinetobacter baumannii OCU_Ac16a plasmid pOCU_Ac16a_1 DNA, complete sequence	AP023078.1
AKA33575.1	dbj|AP023079.1|	40.464	388	224	7	9	392	12103	13257	7.1e-89	295.0	421	41087	91	91	Acinetobacter baumannii OCU_Ac16a plasmid pOCU_Ac16a_2 DNA, complete sequence	AP023079.1
AKA33575.1	gb|AYOH01000010.2|	100.0	421	0	0	1	421	67316	68578	0.0	874.0	421	74089	100	100	Acinetobacter baumannii UH9907 plasmid pABUH1-74, whole genome shotgun sequence	AYOH01000010.2
AKA33575.1	gb|CM009084.2|	100.0	421	0	0	1	421	43101	44363	0.0	874.0	421	62339	100	100	Acinetobacter baumannii strain ZQ9 plasmid p2ZQ9, complete sequence, whole genome shotgun sequence	CM009084.2
AKA33575.1	gb|CM009650.1|	100.0	421	0	0	1	421	24237	22975	0.0	874.0	421	68115	100	100	Acinetobacter baumannii strain ZQ3 plasmid p4ZQ3, complete sequence, whole genome shotgun sequence	CM009650.1
AKA33575.1	gb|CP000865.1|	100.0	421	0	0	1	421	2766	4028	0.0	874.0	421	64366	100	100	Acinetobacter baumannii ACICU plasmid pACICU2, complete sequence	CP000865.1
AKA33575.1	gb|CP001922.1|	100.0	421	0	0	1	421	53043	54305	0.0	874.0	421	74451	100	100	Acinetobacter baumannii 1656-2 plasmid ABKp1, complete sequence	CP001922.1
AKA33575.1	gb|CP002524.1|	100.0	421	0	0	1	421	32880	34142	0.0	874.0	421	70894	100	100	Acinetobacter baumannii TCDC-AB0715 plasmid p2ABTCDC0715, complete sequence	CP002524.1
AKA33575.1	gb|CP003501.1|	83.673	392	64	0	1	392	12781	11606	0.0	700.0	421	77528	93	93	Acinetobacter baumannii MDR-TJ plasmid pABTJ1, complete sequence	CP003501.1
AKA33575.1	gb|CP003887.1|	83.673	392	64	0	1	392	20753	19578	0.0	700.0	421	70170	93	93	Acinetobacter baumannii BJAB07104 plasmid p1BJAB07104, complete sequence	CP003887.1
AKA33575.1	gb|CP003888.1|	83.673	392	64	0	1	392	20753	19578	0.0	700.0	421	70167	93	93	Acinetobacter baumannii BJAB0868 plasmid p2BJAB0868, complete sequence	CP003888.1
AKA33575.1	gb|CP007580.1|	100.0	421	0	0	1	421	47251	48513	0.0	874.0	421	71433	100	100	Acinetobacter baumannii AC30 plasmid pAC30c, complete sequence	CP007580.1
AKA33575.1	gb|CP008707.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	83610	100	100	Acinetobacter baumannii strain AB5075-UW plasmid p1AB5075, complete sequence	CP008707.1
AKA33575.1	gb|CP008851.1|	100.0	421	0	0	1	421	24297	23035	0.0	874.0	421	74749	100	100	Acinetobacter baumannii strain AC29 plasmid pAC29b, complete sequence	CP008851.1
AKA33575.1	gb|CP010399.1|	40.464	388	224	7	9	392	40927	42081	7.12e-89	295.0	421	47274	91	91	Acinetobacter baumannii strain 6200 plasmid p6200-47.274kb, complete sequence	CP010399.1
AKA33575.1	gb|CP012008.1|	100.0	421	0	0	1	421	4929	3667	0.0	874.0	421	87569	100	100	Acinetobacter baumannii Ab04-mff plasmid pAB04-2, complete sequence	CP012008.1
AKA33575.1	gb|CP013925.1|	56.955	381	157	3	15	392	48248	47118	7.86e-144	453.0	421	52517	90	90	Acinetobacter baumannii strain KBN10P02143 plasmid pKBN10P02143, complete sequence	CP013925.1
AKA33575.1	gb|CP014216.1|	100.0	421	0	0	1	421	58290	59552	0.0	874.0	421	74241	100	100	Acinetobacter baumannii strain YU-R612 plasmid unnamed1, complete sequence	CP014216.1
AKA33575.1	gb|CP014292.1|	100.0	421	0	0	1	421	75976	74714	0.0	874.0	421	84967	100	100	Acinetobacter baumannii strain AB34299 plasmid unnamed1, complete sequence	CP014292.1
AKA33575.1	gb|CP015366.1|	100.0	421	0	0	1	421	47992	46730	0.0	874.0	421	80546	100	100	Acinetobacter baumannii strain 3207 plasmid pAba3207b, complete sequence	CP015366.1
AKA33575.1	gb|CP016297.1|	100.0	421	0	0	1	421	43289	44551	0.0	874.0	421	74090	100	100	Acinetobacter baumannii strain CMC-CR-MDR-Ab4 plasmid pCMCVTAb2-Ab4, complete sequence	CP016297.1
AKA33575.1	gb|CP016302.1|	100.0	421	0	0	1	421	42394	43656	0.0	874.0	421	73188	100	100	Acinetobacter baumannii strain CMC-CR-MDR-Ab66 plasmid pCMCVTAb2-Ab66, complete sequence	CP016302.1
AKA33575.1	gb|CP017645.1|	100.0	421	0	0	1	421	68232	66970	0.0	874.0	421	81227	100	100	Acinetobacter baumannii strain KAB02 plasmid, partial sequence	CP017645.1
AKA33575.1	gb|CP017647.1|	99.762	421	1	0	1	421	21915	20653	0.0	873.0	421	73891	100	100	Acinetobacter baumannii strain KAB03 plasmid, complete sequence	CP017647.1
AKA33575.1	gb|CP017649.1|	100.0	421	0	0	1	421	38517	39779	0.0	874.0	421	121485	100	100	Acinetobacter baumannii strain KAB04 plasmid, complete sequence	CP017649.1
AKA33575.1	gb|CP017651.1|	100.0	421	0	0	1	421	49389	50651	0.0	874.0	421	70884	100	100	Acinetobacter baumannii strain KAB05 plasmid, complete sequence	CP017651.1
AKA33575.1	gb|CP017653.1|	100.0	370	0	0	1	370	69774	70883	0.0	770.0	421	70884	99	88	Acinetobacter baumannii strain KAB06 plasmid, complete sequence	CP017653.1
AKA33575.1	gb|CP017655.1|	100.0	421	0	0	1	421	30596	31858	0.0	874.0	421	72073	100	100	Acinetobacter baumannii strain KAB07 plasmid pKAB07, complete genome	CP017655.1
AKA33575.1	gb|CP017657.1|	100.0	421	0	0	1	421	36920	38182	0.0	874.0	421	101406	100	100	Acinetobacter baumannii strain KAB08 plasmid, complete sequence	CP017657.1
AKA33575.1	gb|CP018144.1|	83.673	392	64	0	1	392	28835	30010	0.0	700.0	421	77513	93	93	Acinetobacter baumannii strain HRAB-85 plasmid, complete sequence	CP018144.1
AKA33575.1	gb|CP018422.1|	83.673	392	64	0	1	392	48689	47514	0.0	700.0	421	69069	93	93	Acinetobacter baumannii strain XDR-BJ83 plasmid pBJ83, complete genome	CP018422.1
AKA33575.1	gb|CP019115.1|	100.0	421	0	0	1	421	48173	49435	0.0	874.0	421	75390	100	100	Acinetobacter baumannii strain MDR-CQ plasmid pMDR-CQ, complete sequence	CP019115.1
AKA33575.1	gb|CP020573.1|	100.0	421	0	0	1	421	55894	54632	0.0	874.0	421	74241	100	100	Acinetobacter baumannii strain 15A5 plasmid p15A5_1, complete sequence	CP020573.1
AKA33575.1	gb|CP020577.1|	100.0	421	0	0	1	421	54110	52848	0.0	874.0	421	73264	100	100	Acinetobacter baumannii strain SSA12 plasmid pSSA12_1, complete sequence	CP020577.1
AKA33575.1	gb|CP020580.1|	100.0	421	0	0	1	421	75311	74049	0.0	874.0	421	90973	100	100	Acinetobacter baumannii strain SSMA17 plasmid pSSMA17_1, complete sequence	CP020580.1
AKA33575.1	gb|CP020582.1|	100.0	421	0	0	1	421	36161	34899	0.0	874.0	421	90972	100	100	Acinetobacter baumannii strain JBA13 plasmid pJBA13_1, complete sequence	CP020582.1
AKA33575.1	gb|CP020589.1|	100.0	421	0	0	1	421	24062	25324	0.0	874.0	421	72076	100	100	Acinetobacter baumannii strain 15A34 plasmid p15A34_1, complete sequence	CP020589.1
AKA33575.1	gb|CP020593.1|	100.0	421	0	0	1	421	70235	71497	0.0	874.0	421	74241	100	100	Acinetobacter baumannii strain USA2 plasmid pUSA2_1, complete sequence	CP020593.1
AKA33575.1	gb|CP020594.1|	100.0	421	0	0	1	421	30874	32136	0.0	874.0	421	98301	100	100	Acinetobacter baumannii strain USA15 plasmid pUSA15_1, complete sequence	CP020594.1
AKA33575.1	gb|CP021322.1|	100.0	421	0	0	1	421	38848	40110	0.0	874.0	421	64557	100	100	Acinetobacter baumannii strain XH731 plasmid pXH731, complete sequence	CP021322.1
AKA33575.1	gb|CP021787.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	86334	100	100	Acinetobacter baumannii strain A85 plasmid pA85-3, complete sequence	CP021787.1
AKA33575.1	gb|CP023028.1|	100.0	421	0	0	1	421	103563	104825	0.0	874.0	421	110728	100	100	Acinetobacter baumannii strain 10042 plasmid pAba10042b, complete sequence	CP023028.1
AKA33575.1	gb|CP023030.1|	100.0	421	0	0	1	421	14497	15759	0.0	874.0	421	95206	100	100	Acinetobacter baumannii strain 9102 plasmid pAba9102a, complete sequence	CP023030.1
AKA33575.1	gb|CP023033.1|	100.0	421	0	0	1	421	47992	46730	0.0	874.0	421	80546	100	100	Acinetobacter baumannii strain 7847 plasmid pAba7847b, complete sequence	CP023033.1
AKA33575.1	gb|CP024578.1|	100.0	421	0	0	1	421	2572	3834	0.0	874.0	421	79335	100	100	Acinetobacter baumannii strain AbPK1 plasmid pAbPK1b, complete sequence	CP024578.1
AKA33575.1	gb|CP025267.1|	100.0	421	0	0	1	421	17992	19254	0.0	874.0	421	74241	100	100	Acinetobacter baumannii isolate SMC_Paed_Ab_BL01 plasmid pSMC_AB_BL01_1, complete sequence	CP025267.1
AKA33575.1	gb|CP026127.1|	40.464	388	224	7	9	392	18405	17251	7.09e-89	295.0	421	39359	91	91	Acinetobacter baumannii strain ABNIH28 plasmid pNDM-0285, complete sequence	CP026127.1
